"","meanTotal","sdTotal","medianTotal","meanSuccess","sdSuccess","medianSuccess","meanFail","sdFail","medianFail","meanSuccessTime","sdSuccessTime","medianSuccessTime","meanFailTime","sdFailTime","medianFailTime"
"Text",23.3333333333333,6.32455532033676,20,14.6666666666667,1,15,8.66666666666667,6.02079728939615,5,8.23850223850224,6.10891802841848,5.53333333333333,5.06922398589065,2.56885458626788,4.75
"Blank",76.1111111111111,21.991159840061,72,27.5555555555556,4.55826477705911,30,48.5555555555556,20.031918973922,44,23.3122346789013,9.90764684053617,25.6363636363636,28.0322866344605,13.9233925933834,22.75
"Image",28.9166666666667,8.66736340566132,28.5,15.2916666666667,1.80528611887825,15,13.625,7.63750756065946,13.5,27.7291927231266,9.31188193784433,26.6916666666667,28.9322672697673,8.17476166311066,29.6944444444444
